Ülke,Gelir,Nüfus,Kişi Başına,KITA
ABD,20410000,"323,766",63039,Kuzey Amerika
Çin,14090000,"1415,045",9957,Asya
Japonya,5170000,"127,185",40649,Asya
Almanya,4210000,"82,293",51158,Avrupa
İngiltere,2940000,"66,573",44162,Avrupa
Fransa,2930000,"65,233",44915,Avrupa
Hindistan,2850000,"1354,051",2104,Asya
İtalya,2180000,"59,29",36768,Avrupa
Brezilya,2140000,"210,867",10148,Güney Amerika
Kanada,1800000,"36,953",48710,Kuzey Amerika
Rusya,1720000,"143,967",11947,Avrupa
GÜney Kore,1690000,"51,164",33031,Asya
İspanya,1510000,"46,397",32545,Avrupa
Avusturalya,1500000,"24,772",60552,Okyanusya
Meksika,1210000,"130,759",9253,Kuzey Amerika
Endonezya,1070000,"266,794",4010,Asya
Hollanda,945000,"17,084",55314,Avrupa
Türkiye,910000,"81,916",11108,Asya
Suudi Arabistan,748000,"33,554",22292,Asya
İsviçre,741000,"8,554",86626,Avrupa
