Sıralama,Ülke,Nüfüs,Yıllık değişim oranı,Yıllık değişim,Kişi/km2,km2,Göçmen,Doğum oranı,Ortalama yaş,Şehirleşme oranı,Dünya nüfus oranı
1,China,"1,415,045,928",0.39 %,"5,528,531",151,"9,388,211","-339,69",1.6,37,58 %,18.54 %
2,India,"1,354,051,854",1.11 %,"14,871,727",455,"2,973,190","-515,643",2.4,27,32 %,17.74 %
3,U.S.,"326,766,748",0.71 %,"2,307,285",36,"9,147,420",900,1.9,38,83 %,4.28 %
4,Indonesia,"266,794,980",1.06 %,"2,803,601",147,"1,811,570",-167,2.5,28,54 %,3.50 %
5,Brazil,"210,867,954",0.75 %,"1,579,676",25,"8,358,140","3,185",1.8,31,84 %,2.76 %
6,Pakistan,"200,813,818",1.93 %,"3,797,863",260,"770,88","-236,384",3.7,22,38 %,2.63 %
7,Nigeria,"195,875,237",2.61 %,"4,988,926",215,"910,77",-60,5.7,18,49 %,2.57 %
8,Bangladesh,"166,368,149",1.03 %,"1,698,398","1,278","130,17","-505,297",2.2,26,35 %,2.18 %
9,Russia,"143,964,709",-0.02 %,"-25,045",9,"16,376,870","203,577",1.7,39,73 %,1.89 %
10,Mexico,"130,759,074",1.24 %,"1,595,798",67,"1,943,950",-60,2.3,28,78 %,1.71 %
11,Japan,"127,185,332",-0.23 %,"-299,118",349,"364,555","71,627",1.4,46,94 %,1.67 %
12,Ethiopia,"107,534,882",2.46 %,"2,577,444",108,"1,000,000",-12,4.6,19,20 %,1.41 %
13,Philippines,"106,512,074",1.52 %,"1,593,984",357,"298,17",-130,,24,44 %,1.40 %
14,Egypt,"99,375,741",1.87 %,"1,822,590",100,"995,45","-55,005",3.4,25,38 %,1.30 %
15,Viet Nam,"96,491,146",0.99 %,"950,346",311,"310,07",-40,2.0,30,34 %,1.26 %
16,DR Congo,"84,004,989",3.28 %,"2,665,001",37,"2,267,050","3,012",6.4,17,39 %,1.10 %
17,Germany,"82,293,457",0.22 %,"179,233",236,"348,56","355,425",1.4,46,76 %,1.08 %
18,Iran,"82,011,735",1.05 %,"848,947",50,"1,628,550",-80,1.7,30,74 %,1.07 %
19,Turkey,"81,916,871",1.45 %,"1,171,851",106,"769,63","325,434",2.1,30,71 %,1.07 %
20,Thailand,"69,183,173",0.21 %,"145,66",135,"510,89","33,463",,38,52 %,0.91 %
21,U.K.,"66,573,504",0.59 %,"391,919",275,"241,93",198,1.9,40,81 %,0.87 %
22,France,"65,233,271",0.39 %,"253,723",119,"547,557","72,344",2.0,41,80 %,0.85 %
23,Italy,"59,290,969",-0.12 %,"-68,931",202,"294,14","52,829",1.4,46,72 %,0.78 %
24,Tanzania,"59,091,392",3.11 %,"1,781,373",67,"885,8",-40,5.2,17,31 %,0.77 %
25,South Africa,"57,398,421",1.20 %,"681,265",47,"1,213,090","161,3",2.6,26,62 %,0.75 %
26,Myanmar,"53,855,735",0.91 %,"485,126",82,"653,29","-94,856",2.3,28,36 %,0.71 %
27,South Korea,"51,164,435",0.36 %,"182,223",526,"97,23","33,927",1.2,41,81 %,0.67 %
,,,,,,,,,,,
29,Colombia,"49,464,683",0.81 %,"399,068",45,"1,109,500",-29,1.9,30,79 %,0.65 %
30,Spain,"46,397,452",0.09 %,"43,131",93,"498,8",-114,1.3,43,82 %,0.61 %
31,Argentina,"44,688,864",0.94 %,"417,823",16,"2,736,690",6,2.3,31,88 %,0.59 %
