Numara,İsim,Görev,Doğum Tarihi,Yaş,Takım,Boy,Ayak,Maç,Gol,Milyon Euro
1,Harun Tekin,kaleci,17-6-1989,29,Bursa,"1,87 m",sağ ayak,2,,2.5
23,Sinan Bolat,kaleci,3-9-1988,29,Royal FC,"1,88 m",sağ ayak,6,,1.2
12,Serkan Kirintili,kaleci,15-2-1985,33,Konya,"1,86 m",sağ ayak,3,,0.8 
4,Caglar Söyüncü,stoper,23-5-1996,22,Sc Freiburg,"1,87 m",sağ ayak,16,1,18
22,Kaan Ayhan,stoper,10-11-1994,23,Düsseldorf,"1,85 m",sağ ayak,13,,3
24,Ertugrul Ersoy,stoper,13-2-1997,21,Bursa,"1,87 m",sağ ayak,0,,1.75
3,Hasan Ali Kaldirim,sol bek,9-12-1989,28,Fenerbahçe,"1,83 m",sol ayak,25,,3.25
6,Ömer Bayram,sol bek,27-7-1991,26,Akhisar,"1,75 m",sol ayak,2,,2
2,Sener Özbayrakli,sağ bek,23-1-1990,28,Fenerbahçe,"1,71 m",sağ ayak,17,,2
13,Zeki Celik,sağ bek,17-2-1997,21,İstanbul,"1,80 m",sağ ayak,1,,0.8
5,Okay Yokuslu,önlibero,9-3-1994,24,Trabzon,"1,91 m",sağ ayak,14,1,7.50
15,Mehmet Topal,önlibero,3-3-1986,32,Fenerbahçe,"1,87 m",cift ayakli,78,2,2.5
14,Mahmut Tekdemir,önlibero,20-1-1988,30,Başakşehir,"1,78 m",sağ ayak,5,,2
25,Tarkan Serbest,önlibero,19-4-1994,24,Austria Vien,"1,84 m",sağ ayak,1,,1.5
8,Oguzhan Özyakup,orta saha,23-9-1992,25,Beşiktaş,"1,80 m",sağ ayak,35,1,8
11,Yusuf Yazici,on numara,29-1-1997,21,Trabzon,"1,83 m",sol ayak,9,,12
19,Yunus Malli,on numara,24-2-1992,26,Wolsburg,"1,79 m",sağ ayak,18,1,9
20,Emre Akbaba,on numara,4-10-1992,25,Alanya,"1,80 m",cift ayakli,5,1,5.5
16,Deniz Türüc,on numara,29-1-1993,25,Kayseri,"1,75 m",sol ayak,2,,3.5
21,Irfan Can Kahveci,on numara,15-7-1995,22,Başakşehir,"1,76 m",sol ayak,4,,2.5
27,Berkay Özcan,on numara,15-2-1998,20,Stuttgart,"1,80 m",sağ ayak,1,,2.5
18,Kenan Karaman,sol kanat,5-3-1994,24,Hannover,"1,89 m",sağ ayak,3,,1.5
17,Cengiz Ünder,sağ kanat,14-7-1997,20,Roma,"1,73 m",sol ayak,11,4,27
7,Serdar Gürler,sağ kanat,14-9-1991,26,Osmanlı ,"1,75 m",sağ ayak,4,,3.5
10,Umut Bulut,santrafor,15-3-1983,35,Kayseri,"1,84 m",sağ ayak,39,10,0.45
